A:E0 X:5C Y:00 S:FF P:nvUbdIZc $F48F: AD 02 20  LDA $2002 = #$12
A:12 X:5C Y:00 S:FF P:nvUbdIzc $F492: 20 51 D4  JSR $D451
A:12 X:5C Y:00 S:FD P:nvUbdIzc   $D451: A9 38     LDA #$38
A:38 X:5C Y:00 S:FD P:nvUbdIzc   $D453: 4C 57 C0  JMP $C057
A:38 X:5C Y:00 S:FD P:nvUbdIzc   $C057: A0 06     LDY #$06
A:38 X:5C Y:06 S:FD P:nvUbdIzc   $C059: 8C 06 C0  STY $C006 = #$06
A:38 X:5C Y:06 S:FD P:nvUbdIzc   $C05C: 0A        ASL
A:70 X:5C Y:06 S:FD P:nvUbdIzc   $C05D: A8        TAY
A:70 X:5C Y:70 S:FD P:nvUbdIzc   $C05E: B9 40 80  LDA $8040,Y @ $80B0 = #$22
A:22 X:5C Y:70 S:FD P:nvUbdIzc   $C061: 85 3A     STA $3A = #$6E
A:22 X:5C Y:70 S:FD P:nvUbdIzc   $C063: B9 41 80  LDA $8041,Y @ $80B1 = #$9B
A:9B X:5C Y:70 S:FD P:NvUbdIzc   $C066: 85 3B     STA $3B = #$B2
A:9B X:5C Y:70 S:FD P:NvUbdIzc   $C068: 6C 3A 00  JMP ($003A) = $9B22
A:9B X:5C Y:70 S:FD P:NvUbdIzc   $9B22: 20 D4 9A  JSR $9AD4
A:9B X:5C Y:70 S:FB P:NvUbdIzc     $9AD4: AD 00 04  LDA $0400 = #$FF
A:FF X:5C Y:70 S:FB P:NvUbdIzc     $9AD7: C9 FA     CMP #$FA
A:FF X:5C Y:70 S:FB P:nvUbdIzC     $9AD9: 90 41     BCC $9B1C
A:FF X:5C Y:70 S:FB P:nvUbdIzC     $9ADB: A5 F4     LDA $F4 = #$00
A:00 X:5C Y:70 S:FB P:nvUbdIZC     $9ADD: 0A        ASL
A:00 X:5C Y:70 S:FB P:nvUbdIZc     $9ADE: 0A        ASL
A:00 X:5C Y:70 S:FB P:nvUbdIZc     $9ADF: 90 13     BCC $9AF4
A:00 X:5C Y:70 S:FB P:nvUbdIZc     $9AF4: A5 60     LDA $60 = #$00
A:00 X:5C Y:70 S:FB P:nvUbdIZc     $9AF6: C9 30     CMP #$30
A:00 X:5C Y:70 S:FB P:NvUbdIzc     $9AF8: 90 22     BCC $9B1C
A:00 X:5C Y:70 S:FB P:NvUbdIzc     $9B1C: A9 00     LDA #$00
A:00 X:5C Y:70 S:FB P:nvUbdIZc     $9B1E: 85 60     STA $60 = #$00
A:00 X:5C Y:70 S:FB P:nvUbdIZc     $9B20: 60        RTS (from $9AD4) ----------------------------
A:00 X:5C Y:70 S:FD P:nvUbdIZc   $9B25: AD 00 04  LDA $0400 = #$FF
